slot,name,team,pos,salary,proj_points,pts_per_1k,z_pos_source,delta_vs_implied,source
1,Carson Wentz,MIN,QB,4000,14.7,3.675,-0.3344957300233951,4.420144439609432,fantasypros
2,James Cook,BUF,RB,6600,18.7,2.8333333333333335,1.7382243443321677,1.7382383253555638,fantasypros
3,Jaylen Warren,PIT,RB,5500,14.7,2.6727272727272724,1.0822906294898405,0.5651986044629691,fantasypros
4,Malik Nabers,NYG,WR,7200,19.5,2.7083333333333335,2.2151128355319853,0.9962599912969772,fantasypros
5,Keenan Allen,LAC,WR,4700,12.4,2.6382978723404253,0.8546380467697577,0.3211697165410836,fantasypros
6,Drake London,ATL,WR,6000,15.8,2.6333333333333333,1.5061330160361768,0.38021665941414895,fantasypros
7,Juwan Johnson,NO,TE,3900,11.1,2.8461538461538463,1.3850632886808687,1.0771408286191964,fantasypros
8,Texans ,HOU,DST,2700,6.8,2.518518518518518,0.8512886603151109,-0.1389025032636333,fantasypros
9,Trey McBride,ARI,TE,5700,16.0,2.807017543859649,2.720532375734778,1.351205826443442,fantasypros
